Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40
탕류,구이류,튀김류,볶음류,무침류,면류,치킨류,피자류,조림류,고기류,라면류,해산물류,회류,생선류,돈까스류,일식류,한식류,죽류,중식류,떡볶이류,세트류,분식류,도시락류,양식류,찜류,버거류,빵류,주류,음료류,밥류,커피류,디저트류,차류,채소류,소스류,반찬류,유제품류,과일류,마른안주류,꼬치류
찌개,구이,튀김,볶음,무침,국수,치킨,피자,조림,육회,라면,해산물,우럭,전어,돈까스,초밥,공기밥,알죽,짬뽕,떢볶이,세트,떡볶이,도시락,스파게티,찜,햄버거,소보루,소주,콜라,공기밥,아메리카노,케이크,오미자차,고추,소스,계란말이,치즈,사과,먹태,꼬치
갈비탕,혼삼 오리지널,고로케,닭똥집,쏨땀,우동,레드킹,슈퍼컴퍼니,,수육,라멘,개불,고등어,병어,카츠,오니기리,된장찌개,낙죽,짜장면,떡볶이,SET,김밥,메가 스리라차 참차치마요,오믈렛,해물찜,버거,식빵,맥주,사이다,국밥,라떼,케익,유자차,마늘,갈릭디핑,콩자반,우유,과일,아귀포,소떡
내장탕,그릴,치즈스틱,모래집,골뱅이,냉면,뿌링클,페퍼로니,,족발,스낵면,전복,광어,갈치,생선까스,돈부리,김치찌개,송이죽,탕수육,닭볶이,셋트,라볶이,돈치마요,비프,아구찜,풀드포크,찐빵,처음처럼,환타,덮밥,마끼아또,쿠키,한라봉차,명이나물,와사비,장조림,크림,포도,빠삭 꾸이포,핫바
아구탕,연탄,도너츠,잡채,가상냉채,쫄면,맛초킹,포테이토,,보쌈,진잠뽕,낙지,도미,아구,고구마까스,카마메시,순두부찌개,미역죽,양장피,컵볶이,모다기,라면,동백,스튜,낙지찜,BLT,소금빵,참이슬,음료,주먹밥,커피,크로와플,레몬티,쌈무,마요네즈,계란후라이,요거트,복숭아,북어포,꼬지전
닭도리탕,직화,꽈배기,닭갈비,족뱅이,소면,후라이드,베이컨체더,,삼겹살,탄탄맨,해삼,농어,박대,돈가스,스시,부대찌개,굴죽,군만두,달달덕복희,Set,상추튀김,국화,스테이크,꼬막찜,홈더블팩,호밀빵,테라,탄산수,비빔밥,콜드브루,와플,수정과,양파절임,비빔장,광천김,젤라토,자두,앗싸가오리,산적꼬지
부대찌개,불백,파전,깐쇼새우,오뱅이,메밀,골드킹,하와이언,,목살,탄탄멘,멍게,방어,꼼장어,까스,카테메시,해물탕,닭죽,짜장,따블,set,순대,개나리,스프,찜닭,홈패밀리팩,마늘빵,카스,스파클링,김밥,카페모카,크로크무슈,식혜,버섯,고추장,두부,아이스크림,키위,마른,닭산적
술국,가문어통족,노가리,간소새우,치뱅이,울면,황금올리브,갈릭슈림프골드,,불고기,,석화,도다리,서더리,아티쟌히레,오차즈케,콩나물국,흰죽,볶음밥,불난마요,+,어묵,매화,수프,굴찜,홈투게더팩,우유버터롤,소성주,생수,볶음밥,카푸치노,샌드위치,밀크티,상추,된장,계란,밀크,바나나,쥐포,매운닭살
동태탕,숯불,치즈볼,오돌뼈,홍유두스,짜장면,닭강정,갈릭쉬림프골드,,등심,,오징어,모듬회,참조기,아티쟌로스,우동,북어국,야채죽,깐풍기,끓떡,정식 ,튀김,양념닭 알찬,스크램블,계란찜,와규에디션,모카롤,진로,쥬시쿨,잡채밥,에스프레소,샐러드,얼그레이,깻잎,쌈장,반찬,버터,블루베리,오다리,5닭
바지락탕,오다리,튀김만두,짜글이,해초,짬뽕,강정,고르곤졸라,,삼겹,,해물,세꼬시,임연수,히레까스,야끼우동,불고기,호박죽,짬뽕밥,쫄볶이,모듬,계란초,잘차린 생일상,피자,숙회,원조빅불,대파빵,클라우드,웰치스,해장국,프라페,빙수,캐모마일,무생채,간장,단무지,모짜렐라,수박,반건조,로우진
