군구별(1),세대 및 인구별(1),세대 및 인구별(2),세대 및 인구별(3),2017,2018,2019
합계,세대수 (세대),소계,소계,1188917,1213201,1238641
합계,등록인구 (명),총수,소계,3011138,3022511,3029285
합계,등록인구 (명),총수,남,1515950,1521044,1523404
합계,등록인구 (명),총수,여,1495188,1501467,1505881
합계,등록인구 (명),한국인,소계,2948542,2954642,2957026
합계,등록인구 (명),한국인,남,1479597,1481844,1482249
합계,등록인구 (명),한국인,여,1468945,1472798,1474777
합계,등록인구 (명),외국인,소계,62596,67869,72259
합계,등록인구 (명),외국인,남,36353,39200,41155
합계,등록인구 (명),외국인,여,26243,28669,31104
합계,세대당인구 (명),소계,소계,2.53,2.49,2.45
합계,65세 이상 고령자 (명),소계,소계,345024,362675,384548
합계,평균연령 (세),소계,소계,40.4,41,41.5
합계,인구밀도 (명/㎢),소계,소계,2832,2843,2849
합계,인구밀도 (명/㎢),면적 (㎢),소계,1063.09,1063.27,1063.26
중구,세대수 (세대),소계,소계,54525,57887,65002
중구,등록인구 (명),총수,소계,121838,126522,139385
중구,등록인구 (명),총수,남,63325,65763,72223
중구,등록인구 (명),총수,여,58513,60759,67162
중구,등록인구 (명),한국인,소계,117999,122499,135135
중구,등록인구 (명),한국인,남,61344,63700,70063
중구,등록인구 (명),한국인,여,56655,58799,65072
중구,등록인구 (명),외국인,소계,3839,4023,4250
중구,등록인구 (명),외국인,남,1981,2063,2160
중구,등록인구 (명),외국인,여,1858,1960,2090
중구,세대당인구 (명),소계,소계,2.23,2.19,2.14
중구,65세 이상 고령자 (명),소계,소계,16643,17482,19076
중구,평균연령 (세),소계,소계,41.3,41.3,41.2
중구,인구밀도 (명/㎢),소계,소계,869,902,994
중구,인구밀도 (명/㎢),면적 (㎢),소계,140.27,140.28,140.29
동구,세대수 (세대),소계,소계,29870,28952,28739
동구,등록인구 (명),총수,소계,70387,67161,65362
동구,등록인구 (명),총수,남,35550,33963,33064
동구,등록인구 (명),총수,여,34837,33198,32298
동구,등록인구 (명),한국인,소계,69487,66233,64427
동구,등록인구 (명),한국인,남,35057,33433,32536
동구,등록인구 (명),한국인,여,34430,32800,31891
동구,등록인구 (명),외국인,소계,900,928,935
동구,등록인구 (명),외국인,남,493,530,528
동구,등록인구 (명),외국인,여,407,398,407
동구,세대당인구 (명),소계,소계,2.36,2.32,2.27
동구,65세 이상 고령자 (명),소계,소계,13168,13254,13751
동구,평균연령 (세),소계,소계,44.3,45,46
동구,인구밀도 (명/㎢),소계,소계,9790,9341,9091
동구,인구밀도 (명/㎢),면적 (㎢),소계,7.19,7.19,7.19
